0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272
24,184,384,576,768,984,1160,1352,1544,1736,1928,2088,2280,2472,2664,2856,3104,3240,3496,3624,3840,3968,4224,4352,4608,4736,4992,5120,5376,5504,5760,5888,6144,6272,6528,6656,6912,7040,7296,7424,7680,7808,8064,8192,8456,8712,8712,8968,9224,9480,9480,9736,9992,10248,10248,10504,10760,10760,11016,11272,11528,11528,11784,12040,12296,12296,12552,12808,13064,13064,13320,13576,13832,13832,14088,14344,14600,14600,14856,15112,15368,15368,15624,15880,16136,16136,16392,16392,16896,16896,17424,17424,17424,17928,17928,17928,18432,18432,18960,18960,18960,19464,19464,19464,19968,19968,20496,20496,20496,21000,21000,21000,21504,21504,22032,22032,22032,22536,22536,22536,23040,23040,23568,23568,23568,24072,24072,24072,24576,24576,25104,25104,25104,25608,25608,25608,26120,26120,26632,26632,26632,27144,27144,27144,27656,27656,27656,28168,28168,28680,28680,28680,29192,29192,29192,29704,29704,30216,30216,30216,30728,30728,30728,31240,31240,31752,31752,31752,32264,32264,32264,32776,32776,32776,32776,33816,33816,33816,33816,33816,34816,34816,34816,34816,34816,35856,35856,35856,35856,35856,35856,36896,36896,36896,36896,36896,37896,37896,37896,37896,37896,38936,38936,38936,38936,38936,38936,39936,39936,39936,39936,39936,40976,40976,40976,40976,40976,42016,42016,42016,42016,42016,42016,43032,43032,43032,43032,43032,44040,44040,44040,44040,44040,44040,45096,45096,45096,45096,45096,46104,46104,46104,46104,46104,47112,47112,47112,47112,47112,47112,48168,48168,48168,48168,48168,49176,49176,49176,49176,49176,50184,50184,50184,50184,50184,50184,51216,51216,51216,51216,51216,52224,52224
24,208,432,640,848,1064,1288,1544,1736,1928,2152,2408,2536,2792,2976,3240,3496,3624,3840,4032,4224,4480,4608,4864,5120,5248,5504,5760,5888,6144,6400,6528,6784,7040,7168,7424,7680,7808,8064,8192,8456,8712,8968,9224,9224,9480,9736,9992,10248,10504,10504,10760,11016,11272,11528,11784,11784,12040,12296,12552,12808,13064,13064,13320,13576,13832,14088,14344,14344,14600,14856,15112,15368,15624,15624,15880,16136,16392,16392,16896,16896,17424,17424,17424,17928,17928,18432,18432,18432,18960,18960,19464,19464,19968,19968,19968,20496,20496,21000,21000,21000,21504,21504,22032,22032,22536,22536,22536,23040,23040,23568,23568,23568,24072,24072,24576,24576,25104,25104,25104,25608,25608,26120,26120,26120,26632,26632,27144,27144,27656,27656,27656,28168,28168,28680,28680,28680,29192,29192,29704,29704,30216,30216,30216,30728,30728,31240,31240,31240,31752,31752,32264,32264,32264,32776,32776,32776,33816,33816,33816,33816,33816,34816,34816,34816,34816,34816,35856,35856,35856,35856,35856,36896,36896,36896,36896,37896,37896,37896,37896,37896,38936,38936,38936,38936,38936,39936,39936,39936,39936,39936,40976,40976,40976,40976,40976,42016,42016,42016,42016,43032,43032,43032,43032,43032,44040,44040,44040,44040,44040,45096,45096,45096,45096,45096,46104,46104,46104,46104,46104,47112,47112,47112,47112,47112,48168,48168,48168,48168,49176,49176,49176,49176,49176,50184,50184,50184,50184,50184,51216,51216,51216,51216,51216,52224,52224,52224,52224,52224,53288,53288,53288,53288,54296,54296,54296,54296,54296,55304,55304,55304,55304,55304,56368,56368,56368,56368,56368,57376,57376,57376,57376,57376
24,240,504,736,984,1224,1480,1736,2024,2216,2472,2664,2976,3240,3496,3752,3904,4096,4352,4608,4864,5120,5376,5632,5888,6016,6272,6528,6784,7040,7296,7552,7808,8064,8192,8456,8712,8968,9224,9480,9736,9992,10248,10504,10760,11016,11272,11528,11784,12040,12296,12552,12552,12808,13064,13320,13576,13832,14088,14344,14600,14856,15112,15368,15624,15880,16136,16392,16392,16896,16896,17424,17424,17928,17928,18432,18432,18960,18960,19464,19464,19968,19968,20496,20496,20496,21000,21000,21504,21504,22032,22032,22536,22536,23040,23040,23568,23568,24072,24072,24576,24576,25104,25104,25608,25608,25608,26120,26120,26632,26632,27144,27144,27656,27656,28168,28168,28680,28680,29192,29192,29704,29704,30216,30216,30728,30728,31240,31240,31240,31752,31752,32264,32264,32776,32776,32776,33816,33816,33816,33816,34816,34816,34816,34816,35856,35856,35856,35856,35856,36896,36896,36896,36896,37896,37896,37896,37896,38936,38936,38936,38936,39936,39936,39936,39936,40976,40976,40976,40976,42016,42016,42016,42016,42016,43032,43032,43032,43032,44040,44040,44040,44040,45096,45096,45096,45096,46104,46104,46104,46104,47112,47112,47112,47112,47112,48168,48168,48168,48168,49176,49176,49176,49176,50184,50184,50184,50184,51216,51216,51216,51216,52224,52224,52224,52224,52224,53288,53288,53288,53288,54296,54296,54296,54296,55304,55304,55304,55304,56368,56368,56368,56368,57376,57376,57376,57376,57376,58384,58384,58384,58384,59432,59432,59432,59432,60456,60456,60456,60456,61480,61480,61480,61480,62504,62504,62504,62504,62504,63528,63528,63528,63528,64552,64552,64552,64552,65576,65576,65576,65576,65576,65576
24,272,552,848,1128,1416,1672,1928,2216,2472,2792,3104,3368,3624,3840,4096,4352,4608,4992,5248,5504,5760,6016,6272,6528,6912,7168,7424,7680,7936,8192,8456,8712,8968,9480,9736,9992,10248,10504,10760,11016,11272,11528,11784,12040,12296,12552,13064,13320,13576,13832,14088,14344,14600,14856,15112,15368,15624,15880,16136,16392,16896,16896,17424,17424,17928,17928,18432,18960,18960,19464,19464,19968,19968,20496,20496,21000,21000,21504,21504,22032,22536,22536,23040,23040,23568,23568,24072,24072,24576,24576,25104,25104,25608,26120,26120,26632,26632,27144,27144,27656,27656,28168,28168,28680,28680,29192,29704,29704,30216,30216,30728,30728,31240,31240,31752,31752,32264,32264,32776,32776,33816,33816,33816,33816,34816,34816,34816,34816,35856,35856,35856,36896,36896,36896,36896,37896,37896,37896,37896,38936,38936,38936,38936,39936,39936,39936,40976,40976,40976,40976,42016,42016,42016,42016,43032,43032,43032,44040,44040,44040,44040,45096,45096,45096,45096,46104,46104,46104,46104,47112,47112,47112,48168,48168,48168,48168,49176,49176,49176,49176,50184,50184,50184,51216,51216,51216,51216,52224,52224,52224,52224,53288,53288,53288,53288,54296,54296,54296,55304,55304,55304,55304,56368,56368,56368,56368,57376,57376,57376,58384,58384,58384,58384,59432,59432,59432,59432,60456,60456,60456,60456,61480,61480,61480,62504,62504,62504,62504,63528,63528,63528,63528,64552,64552,64552,64552,65576,65576,65576,65576,65576,67584,67584,67584,67584,67584,67584,67584,67584,69672,69672,69672,69672,69672,69672,69672,71688,71688,71688,71688,71688,71688,71688,73776,73776,73776,73776,73776,73776,73776,73776,75792
24,304,640,928,1256,1608,1864,2216,2472,2792,3104,3496,3752,4032,4352,4608,4992,5248,5632,5888,6144,6528,6784,7168,7424,7808,8064,8456,8712,8968,9224,9736,9992,10248,10504,10760,11272,11528,11784,12040,12552,12808,13064,13320,13576,14088,14344,14600,14856,15112,15624,15880,16136,16392,16896,16896,17424,17928,17928,18432,18432,18960,19464,19464,19968,19968,20496,21000,21000,21504,21504,22032,22536,22536,23040,23568,23568,24072,24072,24576,25104,25104,25608,25608,26120,26632,26632,27144,27144,27656,28168,28168,28680,28680,29192,29704,29704,30216,30216,30728,31240,31240,31752,32264,32264,32776,32776,32776,33816,33816,33816,34816,34816,34816,35856,35856,35856,36896,36896,36896,36896,37896,37896,37896,38936,38936,38936,39936,39936,39936,39936,40976,40976,40976,42016,42016,42016,43032,43032,43032,44040,44040,44040,44040,45096,45096,45096,46104,46104,46104,47112,47112,47112,47112,48168,48168,48168,49176,49176,49176,50184,50184,50184,50184,51216,51216,51216,52224,52224,52224,53288,53288,53288,54296,54296,54296,54296,55304,55304,55304,56368,56368,56368,57376,57376,57376,57376,58384,58384,58384,59432,59432,59432,60456,60456,60456,61480,61480,61480,61480,62504,62504,62504,63528,63528,63528,64552,64552,64552,64552,65576,65576,65576,65576,65576,67584,67584,67584,67584,67584,67584,69672,69672,69672,69672,69672,69672,69672,71688,71688,71688,71688,71688,71688,73776,73776,73776,73776,73776,73776,73776,75792,75792,75792,75792,75792,75792,77896,77896,77896,77896,77896,77896,77896,79896,79896,79896,79896,79896,79896,79896,81976,81976,81976,81976,81976,81976,83976,83976,83976,83976,83976,83976
24,352,704,1032,1416,1736,2088,2408,2792,3104,3496,3824,4096,4480,4864,5120,5504,5888,6272,6528,6912,7296,7552,7936,8192,8712,8968,9224,9736,9992,10504,10760,11016,11528,11784,12040,12552,12808,13064,13576,13832,14088,14600,14856,15112,15624,15880,16392,16392,16896,17424,17424,17928,18432,18432,18960,19464,19968,19968,20496,21000,21000,21504,22032,22032,22536,23040,23040,23568,24072,24072,24576,25104,25104,25608,26120,26120,26632,27144,27144,27656,28168,28168,28680,29192,29192,29704,30216,30728,30728,31240,31752,31752,32264,32776,32776,32776,33816,33816,33816,34816,34816,34816,35856,35856,36896,36896,36896,37896,37896,37896,38936,38936,38936,39936,39936,39936,40976,40976,40976,42016,42016,42016,43032,43032,43032,44040,44040,44040,45096,45096,45096,46104,46104,46104,47112,47112,47112,48168,48168,48168,49176,49176,49176,50184,50184,50184,51216,51216,51216,52224,52224,52224,53288,53288,53288,54296,54296,54296,55304,55304,55304,56368,56368,56368,57376,57376,57376,58384,58384,59432,59432,59432,60456,60456,60456,61480,61480,61480,62504,62504,62504,63528,63528,63528,64552,64552,64552,65576,65576,65576,65576,65576,67584,67584,67584,67584,67584,67584,69672,69672,69672,69672,69672,71688,71688,71688,71688,71688,71688,73776,73776,73776,73776,73776,73776,75792,75792,75792,75792,75792,75792,77896,77896,77896,77896,77896,77896,79896,79896,79896,79896,79896,79896,81976,81976,81976,81976,81976,81976,83976,83976,83976,83976,83976,83976,86040,86040,86040,86040,86040,86040,88064,88064,88064,88064,88064,88064,90176,90176,90176,90176,90176,90176,92200,92200,92200,92200,92200,94248,94248,94248,94248
24,352,704,1032,1416,1736,2088,2408,2792,3104,3496,3824,4096,4480,4864,5120,5504,5888,6272,6528,6912,7296,7552,7936,8192,8712,8968,9224,9736,9992,10504,10760,11016,11528,11784,12040,12552,12808,13064,13576,13832,14088,14600,14856,15112,15624,15880,16392,16392,16896,17424,17424,17928,18432,18432,18960,19464,19968,19968,20496,21000,21000,21504,22032,22032,22536,23040,23040,23568,24072,24072,24576,25104,25104,25608,26120,26120,26632,27144,27144,27656,28168,28168,28680,29192,29192,29704,30216,30728,30728,31240,31752,31752,32264,32776,32776,32776,33816,33816,33816,34816,34816,34816,35856,35856,36896,36896,36896,37896,37896,37896,38936,38936,38936,39936,39936,39936,40976,40976,40976,42016,42016,42016,43032,43032,43032,44040,44040,44040,45096,45096,45096,46104,46104,46104,47112,47112,47112,48168,48168,48168,49176,49176,49176,50184,50184,50184,51216,51216,51216,52224,52224,52224,53288,53288,53288,54296,54296,54296,55304,55304,55304,56368,56368,56368,57376,57376,57376,58384,58384,59432,59432,59432,60456,60456,60456,61480,61480,61480,62504,62504,62504,63528,63528,63528,64552,64552,64552,65576,65576,65576,65576,65576,67584,67584,67584,67584,67584,67584,69672,69672,69672,69672,69672,71688,71688,71688,71688,71688,71688,73776,73776,73776,73776,73776,73776,75792,75792,75792,75792,75792,75792,77896,77896,77896,77896,77896,77896,79896,79896,79896,79896,79896,79896,81976,81976,81976,81976,81976,81976,83976,83976,83976,83976,83976,83976,86040,86040,86040,86040,86040,86040,88064,88064,88064,88064,88064,88064,90176,90176,90176,90176,90176,90176,92200,92200,92200,92200,92200,94248,94248,94248,94248
24,368,736,1128,1480,1864,2216,2600,2976,3368,3752,4032,4480,4736,5120,5504,5888,6272,6656,7040,7424,7808,8064,8456,8968,9224,9480,9992,10248,10760,11016,11528,11784,12296,12552,13064,13320,13576,14088,14344,14856,15112,15624,15880,16392,16392,16896,17424,17928,17928,18432,18960,19464,19464,19968,20496,20496,21000,21504,22032,22032,22536,23040,23040,23568,24072,24576,24576,25104,25608,26120,26120,26632,27144,27144,27656,28168,28680,28680,29192,29704,30216,30216,30728,31240,31240,31752,32264,32776,32776,33816,33816,33816,34816,34816,34816,35856,35856,35856,36896,36896,36896,37896,37896,38936,38936,38936,39936,39936,39936,40976,40976,40976,42016,42016,43032,43032,43032,44040,44040,44040,45096,45096,45096,46104,46104,47112,47112,47112,48168,48168,48168,49176,49176,49176,50184,50184,50184,51216,51216,52224,52224,52224,53288,53288,53288,54296,54296,54296,55304,55304,56368,56368,56368,57376,57376,57376,58384,58384,58384,59432,59432,60456,60456,60456,61480,61480,61480,62504,62504,62504,63528,63528,64552,64552,64552,65576,65576,65576,65576,67584,67584,67584,67584,67584,67584,69672,69672,69672,69672,69672,71688,71688,71688,71688,71688,71688,73776,73776,73776,73776,73776,73776,75792,75792,75792,75792,75792,77896,77896,77896,77896,77896,77896,79896,79896,79896,79896,79896,81976,81976,81976,81976,81976,81976,83976,83976,83976,83976,83976,86040,86040,86040,86040,86040,86040,88064,88064,88064,88064,88064,90176,90176,90176,90176,90176,90176,92200,92200,92200,92200,92200,94248,94248,94248,94248,94248,94248,96264,96264,96264,96264,96264,98376,98376,98376,98376,98376,98376,100392,100392,100392,100392
24,408,808,1192,1608,2024,2408,2792,3240,3624,3904,4352,4736,5120,5504,5888,6272,6656,7040,7424,7808,8192,8712,8968,9480,9736,10248,10504,11016,11272,11784,12296,12552,13064,13320,13832,14088,14600,14856,15368,15624,16136,16392,16896,17424,17928,17928,18432,18960,19464,19464,19968,20496,21000,21000,21504,22032,22536,22536,23040,23568,24072,24576,24576,25104,25608,26120,26120,26632,27144,27656,27656,28168,28680,29192,29704,29704,30216,30728,31240,31240,31752,32264,32776,32776,33816,33816,33816,34816,34816,35856,35856,35856,36896,36896,36896,37896,37896,38936,38936,38936,39936,39936,40976,40976,40976,42016,42016,42016,43032,43032,44040,44040,44040,45096,45096,46104,46104,46104,47112,47112,47112,48168,48168,49176,49176,49176,50184,50184,51216,51216,51216,52224,52224,52224,53288,53288,54296,54296,54296,55304,55304,56368,56368,56368,57376,57376,57376,58384,58384,59432,59432,59432,60456,60456,60456,61480,61480,62504,62504,62504,63528,63528,64552,64552,64552,65576,65576,65576,65576,67584,67584,67584,67584,67584,69672,69672,69672,69672,69672,71688,71688,71688,71688,71688,73776,73776,73776,73776,73776,73776,75792,75792,75792,75792,75792,77896,77896,77896,77896,77896,79896,79896,79896,79896,79896,81976,81976,81976,81976,81976,81976,83976,83976,83976,83976,83976,86040,86040,86040,86040,86040,88064,88064,88064,88064,88064,90176,90176,90176,90176,90176,92200,92200,92200,92200,92200,92200,94248,94248,94248,94248,94248,96264,96264,96264,96264,96264,98376,98376,98376,98376,98376,100392,100392,100392,100392,100392,102416,102416,102416,102416,102416,102416,104496,104496,104496,104496,104496,106576,106576,106576,106576
24,408,808,1192,1608,2024,2408,2792,3240,3624,3904,4352,4736,5120,5504,5888,6272,6656,7040,7424,7808,8192,8712,8968,9480,9736,10248,10504,11016,11272,11784,12296,12552,13064,13320,13832,14088,14600,14856,15368,15624,16136,16392,16896,17424,17928,17928,18432,18960,19464,19464,19968,20496,21000,21000,21504,22032,22536,22536,23040,23568,24072,24576,24576,25104,25608,26120,26120,26632,27144,27656,27656,28168,28680,29192,29704,29704,30216,30728,31240,31240,31752,32264,32776,32776,33816,33816,33816,34816,34816,35856,35856,35856,36896,36896,36896,37896,37896,38936,38936,38936,39936,39936,40976,40976,40976,42016,42016,42016,43032,43032,44040,44040,44040,45096,45096,46104,46104,46104,47112,47112,47112,48168,48168,49176,49176,49176,50184,50184,51216,51216,51216,52224,52224,52224,53288,53288,54296,54296,54296,55304,55304,56368,56368,56368,57376,57376,57376,58384,58384,59432,59432,59432,60456,60456,60456,61480,61480,62504,62504,62504,63528,63528,64552,64552,64552,65576,65576,65576,65576,67584,67584,67584,67584,67584,69672,69672,69672,69672,69672,71688,71688,71688,71688,71688,73776,73776,73776,73776,73776,73776,75792,75792,75792,75792,75792,77896,77896,77896,77896,77896,79896,79896,79896,79896,79896,81976,81976,81976,81976,81976,81976,83976,83976,83976,83976,83976,86040,86040,86040,86040,86040,88064,88064,88064,88064,88064,90176,90176,90176,90176,90176,92200,92200,92200,92200,92200,92200,94248,94248,94248,94248,94248,96264,96264,96264,96264,96264,98376,98376,98376,98376,98376,100392,100392,100392,100392,100392,102416,102416,102416,102416,102416,102416,104496,104496,104496,104496,104496,106576,106576,106576,106576
24,432,888,1320,1800,2216,2600,3104,3496,3904,4352,4736,5248,5632,6144,6528,6912,7424,7808,8192,8712,9224,9480,9992,10504,11016,11272,11784,12296,12552,13064,13576,13832,14344,14856,15368,15624,16136,16392,16896,17424,17928,18432,18960,18960,19464,19968,20496,21000,21504,22032,22032,22536,23040,23568,24072,24576,25104,25104,25608,26120,26632,27144,27656,27656,28168,28680,29192,29704,30216,30728,30728,31240,31752,32264,32776,32776,33816,33816,34816,34816,34816,35856,35856,36896,36896,37896,37896,37896,38936,38936,39936,39936,40976,40976,40976,42016,42016,43032,43032,44040,44040,44040,45096,45096,46104,46104,47112,47112,47112,48168,48168,49176,49176,50184,50184,50184,51216,51216,52224,52224,53288,53288,53288,54296,54296,55304,55304,56368,56368,56368,57376,57376,58384,58384,58384,59432,59432,60456,60456,61480,61480,61480,62504,62504,63528,63528,64552,64552,64552,65576,65576,65576,67584,67584,67584,67584,67584,69672,69672,69672,69672,69672,71688,71688,71688,71688,73776,73776,73776,73776,73776,75792,75792,75792,75792,75792,77896,77896,77896,77896,79896,79896,79896,79896,79896,81976,81976,81976,81976,81976,83976,83976,83976,83976,86040,86040,86040,86040,86040,88064,88064,88064,88064,88064,90176,90176,90176,90176,92200,92200,92200,92200,92200,94248,94248,94248,94248,94248,96264,96264,96264,96264,96264,98376,98376,98376,98376,100392,100392,100392,100392,100392,102416,102416,102416,102416,102416,104496,104496,104496,104496,106576,106576,106576,106576,106576,108552,108552,108552,108552,108552,110632,110632,110632,110632,112648,112648,112648,112648,112648,114776,114776,114776,114776,114776,116792,116792,116792,116792,116792,118896,118896
24,480,984,1480,1928,2408,2856,3368,3840,4224,4736,5248,5760,6144,6656,7168,7680,8064,8712,8968,9480,9992,10504,11016,11528,12040,12296,12808,13320,13832,14344,14856,15368,15880,16136,16896,17424,17928,17928,18432,18960,19464,19968,20496,21000,21504,22032,22536,23040,23568,24072,24576,25104,25104,25608,26120,26632,27144,27656,28168,28680,29192,29704,30216,30728,31240,31752,32264,32264,32776,33816,33816,34816,34816,35856,35856,35856,36896,36896,37896,37896,38936,38936,39936,39936,40976,40976,42016,42016,43032,43032,43032,44040,44040,45096,45096,46104,46104,47112,47112,48168,48168,49176,49176,50184,50184,50184,51216,51216,52224,52224,53288,53288,54296,54296,55304,55304,56368,56368,57376,57376,58384,58384,58384,59432,59432,60456,60456,61480,61480,62504,62504,63528,63528,64552,64552,65576,65576,65576,65576,67584,67584,67584,67584,69672,69672,69672,69672,71688,71688,71688,71688,71688,73776,73776,73776,73776,75792,75792,75792,75792,77896,77896,77896,77896,79896,79896,79896,79896,79896,81976,81976,81976,81976,83976,83976,83976,83976,86040,86040,86040,86040,88064,88064,88064,88064,88064,90176,90176,90176,90176,92200,92200,92200,92200,94248,94248,94248,94248,94248,96264,96264,96264,96264,98376,98376,98376,98376,100392,100392,100392,100392,102416,102416,102416,102416,102416,104496,104496,104496,104496,106576,106576,106576,106576,108552,108552,108552,108552,108552,110632,110632,110632,110632,112648,112648,112648,112648,114776,114776,114776,114776,116792,116792,116792,116792,116792,118896,118896,118896,118896,120936,120936,120936,120936,122976,122976,122976,122976,122976,125016,125016,125016,125016,127080,127080,127080,127080,129128,129128,129128,129128,131176
24,528,1032,1608,2088,2600,3104,3624,4096,4608,5120,5632,6272,6784,7296,7808,8192,8712,9224,9736,10504,11016,11528,12040,12552,13064,13576,14088,14600,15112,15624,16136,16392,16896,17424,17928,18432,19464,19968,20496,21000,21504,22032,22536,23040,23568,24072,24576,25104,25608,26120,26632,27144,27656,28168,28680,29192,29704,30216,30728,31240,31752,32264,32776,32776,33816,33816,34816,34816,35856,36896,36896,37896,37896,38936,38936,39936,39936,40976,40976,42016,42016,43032,43032,44040,44040,45096,45096,46104,46104,47112,47112,48168,48168,49176,49176,50184,50184,51216,51216,52224,52224,53288,53288,54296,54296,55304,55304,56368,56368,57376,57376,58384,58384,59432,59432,60456,60456,61480,61480,62504,62504,63528,63528,64552,64552,65576,65576,65576,67584,67584,67584,67584,69672,69672,69672,71688,71688,71688,71688,73776,73776,73776,73776,75792,75792,75792,75792,77896,77896,77896,77896,79896,79896,79896,79896,81976,81976,81976,81976,83976,83976,83976,83976,86040,86040,86040,86040,88064,88064,88064,88064,90176,90176,90176,90176,92200,92200,92200,92200,94248,94248,94248,94248,96264,96264,96264,96264,98376,98376,98376,98376,100392,100392,100392,100392,102416,102416,102416,102416,104496,104496,104496,106576,106576,106576,106576,108552,108552,108552,108552,110632,110632,110632,110632,112648,112648,112648,112648,114776,114776,114776,114776,116792,116792,116792,116792,118896,118896,118896,118896,120936,120936,120936,120936,122976,122976,122976,122976,125016,125016,125016,125016,127080,127080,127080,127080,129128,129128,129128,129128,131176,131176,131176,131176,131176,131176,135296,135296,135296,135296,135296,135296,135296,135296,139376,139376,139376,139376,139376,139376,139376,143400
24,576,1128,1736,2280,2792,3368,3904,4480,4992,5632,6144,6656,7296,7808,8456,8968,9480,9992,10760,11272,11784,12296,12808,13576,14088,14600,15112,15624,16392,16896,17424,17928,18432,18960,19464,19968,21000,21504,22032,22536,23040,23568,24072,24576,25104,25608,26632,27144,27656,28168,28680,29192,29704,30216,30728,31240,32264,32776,32776,33816,33816,34816,35856,35856,36896,36896,37896,37896,38936,38936,39936,39936,40976,42016,42016,43032,43032,44040,44040,45096,45096,46104,47112,47112,48168,48168,49176,49176,50184,50184,51216,51216,52224,53288,53288,54296,54296,55304,55304,56368,56368,57376,57376,58384,59432,59432,60456,60456,61480,61480,62504,62504,63528,64552,64552,65576,65576,65576,67584,67584,67584,67584,69672,69672,69672,71688,71688,71688,71688,73776,73776,73776,73776,75792,75792,75792,77896,77896,77896,77896,79896,79896,79896,79896,81976,81976,81976,83976,83976,83976,83976,86040,86040,86040,88064,88064,88064,88064,90176,90176,90176,90176,92200,92200,92200,94248,94248,94248,94248,96264,96264,96264,96264,98376,98376,98376,100392,100392,100392,100392,102416,102416,102416,102416,104496,104496,104496,106576,106576,106576,106576,108552,108552,108552,108552,110632,110632,110632,112648,112648,112648,112648,114776,114776,114776,116792,116792,116792,116792,118896,118896,118896,118896,120936,120936,120936,122976,122976,122976,122976,125016,125016,125016,125016,127080,127080,127080,129128,129128,129128,129128,131176,131176,131176,131176,131176,135296,135296,135296,135296,135296,135296,135296,135296,139376,139376,139376,139376,139376,139376,139376,143400,143400,143400,143400,143400,143400,143400,147576,147576,147576,147576,147576,147576,147576,147576,151608,151608,151608,151608,151608,151608
24,608,1224,1864,2408,3104,3624,4224,4864,5376,6016,6656,7296,7808,8456,8968,9736,10248,11016,11528,12040,12808,13320,13832,14600,15112,15880,16392,16896,17424,17928,18960,19464,19968,20496,21000,22032,22536,23040,23568,24072,25104,25608,26120,26632,27144,27656,28680,29192,29704,30216,30728,31752,32264,32776,33816,33816,34816,34816,35856,36896,36896,37896,37896,38936,38936,39936,40976,40976,42016,42016,43032,44040,44040,45096,45096,46104,47112,47112,48168,48168,49176,50184,50184,51216,51216,52224,53288,53288,54296,54296,55304,55304,56368,57376,57376,58384,58384,59432,60456,60456,61480,61480,62504,63528,63528,64552,64552,65576,65576,67584,67584,67584,67584,69672,69672,69672,71688,71688,71688,73776,73776,73776,73776,75792,75792,75792,77896,77896,77896,77896,79896,79896,79896,81976,81976,81976,83976,83976,83976,83976,86040,86040,86040,88064,88064,88064,90176,90176,90176,90176,92200,92200,92200,94248,94248,94248,94248,96264,96264,96264,98376,98376,98376,100392,100392,100392,100392,102416,102416,102416,104496,104496,104496,106576,106576,106576,106576,108552,108552,108552,110632,110632,110632,110632,112648,112648,112648,114776,114776,114776,116792,116792,116792,116792,118896,118896,118896,120936,120936,120936,122976,122976,122976,122976,125016,125016,125016,127080,127080,127080,127080,129128,129128,129128,131176,131176,131176,131176,131176,135296,135296,135296,135296,135296,135296,135296,139376,139376,139376,139376,139376,139376,143400,143400,143400,143400,143400,143400,143400,147576,147576,147576,147576,147576,147576,147576,151608,151608,151608,151608,151608,151608,151608,155776,155776,155776,155776,155776,155776,159880,159880,159880,159880,159880,159880,159880,163976,163976,163976,163976,163976,163976
24,672,1320,2024,2600,3240,3904,4480,5248,5888,6528,7168,7808,8456,9224,9736,10504,11016,11784,12296,13064,13576,14344,14856,15624,16392,16896,17424,18432,18960,19464,19968,21000,21504,22032,22536,23568,24072,24576,25608,26120,26632,27144,28168,28680,29192,29704,30728,31240,31752,32776,32776,33816,34816,34816,35856,36896,36896,37896,38936,38936,39936,39936,40976,42016,42016,43032,44040,44040,45096,46104,46104,47112,47112,48168,49176,49176,50184,51216,51216,52224,53288,53288,54296,54296,55304,56368,56368,57376,58384,58384,59432,59432,60456,61480,61480,62504,63528,63528,64552,65576,65576,65576,67584,67584,67584,69672,69672,69672,71688,71688,71688,73776,73776,73776,75792,75792,75792,77896,77896,77896,77896,79896,79896,79896,81976,81976,81976,83976,83976,83976,86040,86040,86040,88064,88064,88064,90176,90176,90176,92200,92200,92200,92200,94248,94248,94248,96264,96264,96264,98376,98376,98376,100392,100392,100392,102416,102416,102416,104496,104496,104496,106576,106576,106576,106576,108552,108552,108552,110632,110632,110632,112648,112648,112648,114776,114776,114776,116792,116792,116792,118896,118896,118896,120936,120936,120936,120936,122976,122976,122976,125016,125016,125016,127080,127080,127080,129128,129128,129128,131176,131176,131176,131176,131176,135296,135296,135296,135296,135296,135296,139376,139376,139376,139376,139376,139376,143400,143400,143400,143400,143400,143400,143400,147576,147576,147576,147576,147576,147576,151608,151608,151608,151608,151608,151608,155776,155776,155776,155776,155776,155776,155776,159880,159880,159880,159880,159880,159880,163976,163976,163976,163976,163976,163976,167976,167976,167976,167976,167976,167976,172176,172176,172176,172176,172176,172176,172176,176208,176208,176208,176208,176208
